3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
3,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,3
3,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,3
3,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,3
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
3,,,,,,,60,,,,,,,,,,,,,3,3,,,,,,,,,,,,,3
3,,,,,,,,,,,,,,,,3,,,,3,3,3,,,,,,,,,,61,,3
3,,,,,,,,,,,,3,,,,3,,,,3,,3,3,,,,,,,,,61,,3
3,20,,,,,,3,,,,,3,,,,3,,,,3,,,3,3,,,,,,,,,,3
3,3,3,,,,,3,,,,,3,,,,3,,,,3,,,,3,3,,,,,,,,,3
3,3,3,,,,,3,,,,,3,,,,3,,,,3,,,,,3,3,,,,,,,,3
3,3,3,,,,,3,,,,,3,,,,3,,,,3,,,,,,3,3,3,3,3,3,3,3,3
